promo_id,product_id,store_id,start_date,end_date,discount_pct
PR01,1077,4,2025-04-18,2025-05-01,10
PR02,1053,2,2025-03-29,2025-04-11,15
PR03,1076,4,2025-05-22,2025-06-04,10
PR04,1073,4,2025-09-12,2025-09-25,25
PR05,1032,4,2025-07-18,2025-07-31,10
PR06,1032,2,2025-08-23,2025-09-05,10
PR07,1113,4,2025-07-31,2025-08-13,20
PR08,1113,2,2025-04-02,2025-04-15,25
PR09,1073,2,2025-08-27,2025-09-09,15
PR10,1077,2,2025-10-03,2025-10-16,10
PR11,1046,2,2025-06-03,2025-06-16,10
PR12,1094,2,2025-09-22,2025-10-05,25
