receipt_id,store_id,product_id,sale_date,qty,unit_price,discount_pct
R2510180,3,1073,2025-11-06,1,22.0,0.0
R2519564,4,1047,2025-04-25,2,159.0,0.0
R2538463,2,1109,2025-07-18,1,352.0,0.0
R2507814,1,1089,2025-02-23,1,70.0,0.0
R2504502,2,1086,2025-03-05,4,66.0,0.0
R2506298,4,1109,21/02/2025,2,352.0,0.0
R2507203,5,1095,2025-11-10,1,56.0,0.0
R2521480,1,1032,2025-02-03,2,66.0,0.0
R2500873,5,1014,2025-10-31,1,49.0,0.0
R2527730,2,1088,2025-08-22,3,40.0,0.0
R2518529,4,1074,2025-10-29,1,78.0,0.0
R2523242,5,1077,2025-12-04,1,32.0,0.0
R2514478,4,1048,2025-05-12,1,283.0,0.0
R2508741,5,1074,15/04/2025,1,₹78,0.0
R2501889,4,1030,2025-06-22,3,72.0,0.0
R2503338,4,1037,23/03/2025,2,150.0,0.0
R2506759,1,1049,17/07/2025,1,348.0,0.0
R2510235,4,1026,2025-05-25,1,83.0,0.0
R2538025,4,1044,2025-05-27,1,130.0,0.0
R2530262,1,1046,2025-01-18,4,292.0,0.0
R2519724,5,1077,2025-11-01,1,32.0,0.0
R2514423,3,1077,2025-12-31,1,32.0,0.0
R2534477,2,1106,2025-03-22,1,₹440,0.0
R2501770,4,1076,2025-04-17,1,67.0,0.0
R2517733,1,1001,2025-09-05,6,36.0,0.0
R2534205,3,1032,2025-08-04,1,66.0,0.0
R2505678,4,1076,2025-12-26,2,67.0,0.0
R2502487,2,1080,2025-12-07,1,25.0,0.0
R2522542,2,1067,2025-10-06,1,44.0,0.0
R2500193,4,1031,20/04/2025,2,33.0,0.0
R2514224,1,1074,2025-01-15,3,78.0,0.0
R2535272,2,1032,2025-11-17,2,₹66,0.0
R2513856,3,1113,23/03/2025,1,107.0,0.0
R2503751,2,1090,2025-11-25,2,70.0,0.0
R2518987,4,1046,15/04/2025,2,₹292,0.0
R2533849,1,1004,2025-02-21,3,66.0,0.0
R2503757,3,1077,2025-06-21,1,₹32,0.0
R2500147,1,1017,2025-03-08,3,111.0,0.0
R2520552,1,1017,2025-12-31,4,111.0,0.0
R2532782,2,1046,2025-11-08,6,292.0,0.0
R2534825,4,1100,2025-03-24,2,327.0,0.0
R2520907,3,1094,2025-10-06,1,52.0,0.0
R2514539,4,1047,02/07/2025,4,159.0,0.0
R2538635,3,1017,2025-05-31,3,111.0,0.0
R2500733,1,1046,2025-09-11,1,292.0,0.0
R2515575,4,1077,2025-07-02,2,32.0,0.0
R2532505,3,1094,2025-03-22,2,52.0,0.0
R2518018,3,1087,2025-05-21,2,99.0,0.0
R2506382,3,1017,2025-07-11,6,111.0,0.0
R2504727,1,1076,08/06/2025,2,67.0,0.0
R2510121,2,1077,2025-11-25,1,₹32,0.0
R2506434,5,1013,2025-02-09,3,119.0,0.0
R2516924,2,1113,2025-01-28,4,107.0,0.0
R2517128,1,1110,2025-03-23,1,385.0,0.0
R2521223,2,1028,2025-08-27,4,68.0,0.0
R2537527,1,1032,21/06/2025,1,₹66,0.0
R2509690,4,1014,2025-03-08,1,49.0,0.0
R2526061,2,1094,2025-06-09,3,52.0,0.0
R2528957,5,1094,2025-09-16,1,52.0,0.0
R2536420,4,1023,2025-01-31,6,46.0,0.0
R2509331,2,1017,2025-02-12,6,111.0,0.0
R2524795,3,1021,2025-07-24,3,29.0,0.0
R2510981,2,1005,2025-06-01,2,94.0,0.0
R2502243,1,1108,2025-05-10,1,135.0,0.0
R2521207,2,1086,2025-05-24,2,66.0,0.0
R2518236,2,1044,2025-01-19,1,130.0,0.0
R2529149,4,1077,2025-11-12,1,32.0,0.0
R2511437,4,1111,2025-09-10,6,234.0,0.0
R2525273,2,1094,2025-08-04,2,52.0,0.0
R2502662,3,1032,2025-07-08,1,66.0,0.0
R2501122,4,1094,2025-01-11,2,52.0,0.0
R2530397,5,1073,03/05/2025,4,22.0,0.0
R2526448,2,1017,2025-01-17,2,111.0,0.0
R2503953,3,1094,2025-02-22,2,52.0,0.0
R2503753,2,1066,2025-12-11,6,78.0,0.0
R2502624,5,1046,2025-10-05,4,292.0,0.0
R2525288,4,1015,2025-01-11,1,132.0,0.0
R2508435,4,1017,2025-02-22,2,111.0,0.0
R2521294,2,1079,2025-03-14,6,26.0,0.0
R2535011,1,1029,2025-03-21,1,72.0,0.0
R2503394,4,1076,2025-08-27,4,67.0,0.0
R2531852,4,1081,2025-11-29,1,48.0,0.0
R2510695,3,1044,2025-08-06,3,130.0,0.0
R2533932,5,1074,2025-11-30,4,78.0,0.0
R2535251,4,1094,23/12/2025,6,52.0,0.0
R2533597,4,1014,2025-08-26,4,49.0,0.0
R2512005,4,1053,02/06/2025,3,248.0,0.0
R2606013,4,1113,2025-08-08,1,107.0,20.0
R2517793,1,1106,10/11/2025,2,440.0,0.0
R2518343,4,1032,2025-09-25,1,66.0,0.0
R2509758,3,1013,2025-06-01,6,119.0,0.0
R2502526,1,1032,2025-07-11,2,66.0,0.0
R2504130,5,1017,2025-09-17,6,111.0,0.0
R2512566,2,1046,30/06/2025,1,292.0,0.0
R2506772,1,1032,2025-05-13,1,66.0,0.0
R2516750,4,1055,2025-05-18,2,320.0,0.0
R2511466,2,1044,2025-03-16,1,130.0,0.0
R2523565,5,1017,2025-07-20,4,111.0,0.0
R2504080,2,1017,2025-06-22,1,111.0,0.0
R2527116,3,1032,03/01/2025,1,66.0,0.0
R2534269,4,1037,2025-08-22,2,150.0,0.0
R2518047,1,1017,2025-05-01,1,₹111,0.0
R2529136,4,1035,2025-12-16,1,229.0,0.0
R2507796,5,1032,08/02/2025,1,66.0,0.0
R2500913,1,1044,2025-07-26,2,130.0,0.0
R2524192,3,1086,2025-04-26,2,66.0,0.0
R2523284,4,1094,2025-10-02,2,52.0,0.0
R2539793,1,1104,2025-10-29,1,209.0,0.0
R2533117,5,1094,18/07/2025,3,52.0,0.0
R2536312,4,1017,2025-12-25,1,111.0,0.0
R2500681,3,1013,2025-04-15,6,119.0,0.0
R2534814,1,1044,2025-08-20,3,130.0,0.0
R2520055,4,1032,2025-10-19,3,66.0,0.0
R2502120,4,1073,2025-06-05,2,22.0,0.0
R2515875,2,1094,2025-11-01,1,52.0,0.0
R2516439,2,1053,2025-01-05,2,248.0,0.0
R2526445,4,1032,2025-09-11,1,66.0,0.0
R2506858,1,1044,2025-02-24,4,130.0,0.0
R2507148,1,1094,2025-04-24,2,52.0,0.0
R2507287,2,1084,2025-03-03,4,112.0,0.0
R2539734,4,1094,2025-09-23,1,52.0,0.0
R2535693,3,1106,2025-08-30,2,440.0,0.0
R2523169,3,1030,01/01/2025,6,72.0,0.0
R2520372,3,1015,2025-11-03,3,132.0,0.0
R2523476,4,1073,2025-06-07,3,22.0,0.0
R2539908,4,1017,2025-06-21,1,111.0,0.0
R2533779,2,1032,2025-09-22,2,66.0,0.0
R2527418,3,1030,2025-02-16,4,72.0,0.0
R2534773,3,1046,2025-04-05,3,292.0,0.0
R2513842,2,1032,2025-12-29,1,66.0,0.0
R2518028,4,1100,2025-03-01,1,327.0,0.0
R2530691,5,1017,2025-07-04,1,111.0,0.0
R2504327,4,1002,18/04/2025,2,44.0,0.0
R2525125,5,1033,2025-02-24,6,321.0,0.0
R2518418,3,1044,2025-10-25,4,130.0,0.0
R2504387,3,1087,2025-02-02,1,99.0,0.0
R2529350,4,1060,2025-12-14,1,145.0,0.0
R2509037,5,1079,2025-05-24,2,26.0,0.0
R2514667,2,1079,2025-03-09,3,26.0,0.0
R2538329,3,1013,2025-03-16,1,119.0,0.0
R2502493,3,1044,2025-05-18,1,130.0,0.0
R2528194,5,1073,2025-04-12,3,22.0,0.0
R2523802,5,1094,2025-09-19,2,52.0,0.0
R2517474,3,1076,2025-11-29,1,67.0,0.0
R2530539,1,1032,2025-06-03,1,66.0,0.0
R2519667,3,1053,2025-07-14,6,248.0,0.0
R2503524,4,1094,2025-06-01,1,52.0,0.0
R2527033,3,1084,2025-08-15,1,112.0,0.0
R2534149,1,1017,2025-05-24,6,111.0,0.0
R2512095,4,1093,2025-12-02,1,₹42,0.0
R2508179,4,1017,2025-10-26,2,111.0,0.0
R2529685,4,1080,2025-12-23,1,25.0,0.0
R2534066,4,1046,2025-08-13,1,292.0,0.0
R2526982,4,1070,2025-05-06,2,₹48,0.0
R2525096,2,1094,2025-09-08,1,52.0,0.0
R2502681,3,1073,2025-04-01,4,22.0,0.0
R2505594,4,1009,2025-10-12,2,111.0,0.0
R2517612,5,1030,2025-06-25,1,72.0,0.0
R2531963,4,1084,2025-02-27,1,112.0,0.0
R2509364,2,1044,2025-09-06,1,130.0,0.0
R2528348,1,1055,18/07/2025,2,320.0,0.0
R2537244,2,1094,2025-11-14,6,52.0,0.0
R2509095,1,1077,2025-11-22,1,32.0,0.0
R2537977,2,1094,2025-02-09,1,52.0,0.0
R2514901,3,1032,2025-09-29,1,66.0,0.0
R2506963,5,1046,2025-09-28,2,292.0,0.0
R2536403,3,1044,19/02/2025,6,130.0,0.0
R2524066,2,1098,2025-11-03,1,90.0,0.0
R2500589,2,1002,2025-04-16,1,44.0,0.0
R2535665,2,1032,2025-08-18,1,66.0,0.0
R2508766,5,1080,2025-11-19,3,25.0,0.0
R2514368,4,1023,2025-08-16,1,46.0,0.0
R2518705,5,1087,2025-08-26,2,99.0,0.0
R2531092,2,1046,2025-04-02,2,292.0,0.0
R2539447,3,1004,2025-06-27,4,66.0,0.0
R2535040,2,1001,2025-10-02,1,36.0,0.0
R2539963,5,1113,2025-11-28,2,107.0,0.0
R2518404,3,1004,2025-06-22,2,₹66,0.0
R2526473,4,1094,18/05/2025,2,52.0,0.0
R2537796,2,1046,2025-05-07,1,292.0,0.0
R2531890,2,1077,05/12/2025,1,32.0,0.0
R2513993,1,1044,2025-03-29,4,130.0,0.0
R2519974,4,1088,2025-05-13,1,₹40,0.0
R2537667,3,1004,2025-12-24,4,66.0,0.0
R2523713,3,1074,2025-11-10,4,78.0,0.0
R2539995,4,1094,2025-02-11,6,52.0,0.0
R2522762,2,1110,03/04/2025,3,385.0,0.0
R2521606,4,1044,2025-12-14,2,130.0,0.0
R2530861,5,1076,2025-05-10,3,67.0,0.0
R2518995,4,1055,08/01/2025,1,320.0,0.0
R2508878,1,1067,2025-06-04,1,44.0,0.0
R2513354,1,1067,2025-06-05,1,44.0,0.0
R2537790,3,1077,2025-05-01,1,32.0,0.0
R2520651,1,1094,2025-08-03,2,52.0,0.0
R2514520,3,1077,28/08/2025,6,32.0,0.0
R2510959,4,1001,2025-08-12,2,₹36,0.0
R2534003,1,1046,2025-02-10,2,292.0,0.0
R2513622,2,1073,2025-01-10,6,22.0,0.0
R2536345,5,1113,2025-05-30,2,107.0,0.0
R2504222,1,1017,2025-07-14,2,111.0,0.0
R2515772,2,1114,2025-09-27,1,89.0,0.0
R2532447,4,1015,20/02/2025,1,₹132,0.0
R2539881,2,1110,16/08/2025,6,385.0,0.0
R2507326,3,1073,25/07/2025,6,22.0,0.0
R2511906,4,1108,2025-10-18,6,135.0,0.0
R2533235,2,1113,2025-07-24,1,107.0,0.0
R2534792,4,1094,2025-12-15,6,52.0,0.0
R2515109,1,1094,2025-09-14,1,52.0,0.0
R2514161,5,1113,2025-03-08,1,107.0,0.0
R2516386,5,1053,2025-03-06,6,248.0,0.0
R2502436,1,1014,2025-02-05,1,₹49,0.0
R2539849,4,1006,2025-07-13,2,36.0,0.0
R2536099,5,1093,05/01/2025,4,42.0,0.0
R2536212,4,1046,08/07/2025,1,292.0,0.0
R2521587,4,1094,2025-04-19,2,52.0,0.0
R2513084,4,1073,2025-02-26,6,22.0,0.0
R2504012,4,1094,2025-09-11,1,52.0,0.0
R2507620,3,1032,2025-02-19,6,66.0,0.0
R2516793,5,1046,2025-07-04,1,₹292,0.0
R2521762,2,1021,2025-01-03,1,29.0,0.0
R2501144,4,1076,2025-11-14,2,67.0,0.0
R2503071,4,1058,2025-05-07,6,114.0,0.0
R2511889,2,1003,2025-04-25,4,82.0,0.0
R2516026,4,1073,21/12/2025,2,22.0,0.0
R2512309,3,1076,05/09/2025,6,67.0,0.0
R2518195,3,1094,2025-05-10,6,52.0,0.0
R2501470,5,1004,2025-06-15,2,66.0,0.0
R2507701,1,1094,2025-07-08,4,52.0,0.0
R2522952,2,1079,2025-05-03,1,26.0,0.0
R2530910,2,1109,03/01/2025,1,352.0,0.0
R2527757,3,1017,2025-12-20,4,111.0,0.0
R2523124,4,1094,2025-09-28,1,52.0,0.0
R2529572,4,1074,2025-06-07,2,78.0,0.0
R2527879,1,1026,02/08/2025,2,83.0,0.0
R2531710,2,1086,2025-12-03,3,66.0,0.0
R2531361,4,1066,18/04/2025,4,78.0,0.0
R2535546,3,1032,2025-03-28,2,66.0,0.0
R2520892,2,1003,2025-06-06,3,82.0,0.0
R2505969,2,1032,03/05/2025,6,66.0,0.0
R2500859,5,1046,2025-08-11,6,₹292,0.0
R2506188,4,1026,2025-11-08,6,83.0,0.0
R2508760,4,1085,2025-07-04,1,114.0,0.0
R2501278,1,1014,2025-05-14,1,49.0,0.0
R2513982,1,1081,2025-08-15,3,48.0,0.0
R2511917,5,1110,2025-07-20,6,385.0,0.0
R2520521,3,1063,22/12/2025,4,76.0,0.0
R2505666,2,1049,2025-08-23,1,348.0,0.0
R2514658,2,1073,08/09/2025,3,22.0,15.0
R2515617,3,1007,2025-08-29,3,129.0,0.0
R2534448,2,1017,20/01/2025,4,111.0,0.0
R2504501,1,1094,2025-02-11,6,₹52,0.0
R2510409,2,1046,08/05/2025,6,292.0,0.0
R2518039,2,1116,2025-01-22,1,313.0,0.0
R2505987,4,1017,2025-04-16,2,111.0,0.0
R2537998,3,1095,2025-12-07,6,56.0,0.0
R2520745,3,1046,20/07/2025,6,292.0,0.0
R2528560,2,1079,2025-10-09,1,26.0,0.0
R2508977,3,1008,2025-08-12,1,136.0,0.0
R2509687,2,1014,2025-10-20,1,49.0,0.0
R2508649,2,1037,11/08/2025,4,150.0,0.0
R2505017,5,1046,2025-12-13,2,₹292,0.0
R2508163,2,1061,28/06/2025,1,313.0,0.0
R2519158,3,1017,2025-08-22,1,111.0,0.0
R2535018,4,1109,04/02/2025,3,352.0,0.0
R2529476,2,1120,2025-12-04,1,209.0,0.0
R2513631,2,1032,2025-04-20,3,66.0,0.0
R2531384,4,1067,2025-11-09,1,44.0,0.0
R2510976,4,1023,2025-12-02,1,46.0,0.0
R2513370,2,1026,2025-08-09,2,83.0,0.0
R2514401,4,1017,2025-01-22,6,111.0,0.0
R2520838,1,1046,2025-09-06,6,292.0,0.0
R2532833,5,1086,2025-02-01,1,66.0,0.0
R2512801,1,1094,2025-03-08,4,52.0,0.0
R2518487,3,1004,2025-04-12,1,66.0,0.0
R2539489,1,1007,2025-12-31,6,129.0,0.0
R2513347,4,1017,2025-01-05,2,111.0,0.0
R2514782,2,1094,2025-02-09,3,52.0,0.0
R2509556,4,1104,29/10/2025,6,209.0,0.0
R2511383,5,1079,2025-08-09,1,26.0,0.0
R2504965,1,1063,2025-01-26,1,76.0,0.0
R2521425,5,1054,2025-08-28,3,235.0,0.0
R2502384,4,1017,2025-11-24,1,111.0,0.0
R2524233,4,1013,2025-09-02,4,₹119,0.0
R2528657,4,1088,2025-04-16,2,40.0,0.0
R2524382,1,1049,2025-07-12,6,348.0,0.0
R2506476,2,1075,2025-09-21,1,34.0,0.0
R2512033,2,1032,2025-02-03,4,₹66,0.0
R2533835,1,1017,2025-03-17,4,111.0,0.0
R2514426,2,1046,29/03/2025,6,292.0,0.0
R2521339,3,1054,2025-10-05,1,235.0,0.0
R2502488,3,1010,06/05/2025,1,97.0,0.0
R2505114,5,1058,2025-11-14,2,114.0,0.0
R2504926,2,1066,2025-10-31,2,78.0,0.0
